timeslice,season,tod
H1,Winter,night
H2,Winter,sunrise
H3,Winter,morning
H4,Winter,afternoon
H5,Winter,sunset
H6,Winter,evening
H7,Winter,peak
H8,Spring,night
H9,Spring,sunrise
H10,Spring,morning
H11,Spring,afternoon
H12,Spring,sunset
H13,Spring,evening
H14,Spring,peak
H15,Summer,night
H16,Summer,sunrise
H17,Summer,morning
H18,Summer,afternoon
H19,Summer,sunset
H20,Summer,evening
H21,Summer,peak
H22,Rainy,night
H23,Rainy,sunrise
H24,Rainy,morning
H25,Rainy,afternoon
H26,Rainy,sunset
H27,Rainy,evening
H28,Rainy,peak
H29,Autumn,night
H30,Autumn,sunrise
H31,Autumn,morning
H32,Autumn,afternoon
H33,Autumn,sunset
H34,Autumn,evening
H35,Autumn,peak
